Name,Energy
2XYD,-176.63
3NXQ,-124.3
2C6N,-100.92
4BXK,-87.08
3npc,-86.25
456c,-78.61
3L3N,-78.56
ADRB1-a,-77.35
ADRB1-a,-76.95
ADRB1-a,-75.74
4E0X,-74.8
ADRB1-a,-74.16
ADRB1-a,-73.47
4v24,-72.73
2ves,-72.24
ADRB1-a,-72.19
ADRB1-a,-71.6
3n4b,-70.92
ADRB1-a,-70.64
ADRB1-a,-69.8
2bak,-69.21
6hsh,-68.49
4zx4,-68.31
ADRB1-a,-67.82
ADRB1-a,-66.81
ADRB1-a,-66.11
3fql,-65.53
6pl1,-65.22
6maj,-64.97
1SR7,-63.81
3S2V,-63.41
2xbw,-63.37
1xh4,-62.1
ADRB1-a,-61.97
ADRB1-a,-61.57
6h2z,-61.56
5ljt,-61.49
6cn5,-61.26
4zx3,-61.22
5x74,-60.81
2QS4,-60.57
4ybk,-60.43
1if7,-60.12
2yix,-59.92
ADRB1-a,-59.91
2vnt,-59.85
4rj8,-59.47
4o05,-59.16
6hrq,-59.13
3d83,-59
2qu6,-58.63
3KBA,-58.21
4j22,-58.18
5mwp,-57.84
3b65,-57.44
4o0b,-56.33
ADRB1-a,-56.28
4x6n,-55.87
4o07,-55.69
3p3g,-55.55
4v01,-55.46
4b7p,-55.41
5c8n,-55.34
5hcv,-55.33
2A3I,-55.31
3b1m,-55.22
3eqr,-55.12
TRYB1-a,-55.07
3r7o,-55.06
4nh8,-54.8
3ryz,-54.51
2AA2,-54.44
3b66,-54.39
5ehr,-54.36
ADRB1-a,-54.29
3i60,-54.18
3tvc,-54.16
2ra0,-54.03
5l7g,-53.96
4o09,-53.94
1z6e,-53.84
1g2l,-53.63
3b5r,-53.61
4zo5,-53.33
4q6d,-53.27
4pmm,-53.18
6s5k,-52.93
4DLD,-52.68
4COX,-52.66
6htg,-52.5
6qmj,-52.27
2QS3,-52.24
6cjr,-51.99
1YA3,-51.87
6gwr,-51.74
1ksn,-51.72
1yqj,-51.72
5j86,-51.51
4xt2,-51.47
3fqe,-51.43
4o0x,-51.4
4qyy,-51.38
4fsl,-51.29
3q6w,-51.21
1k1j,-51.08
5dey,-50.89
5j6l,-50.77
3VHV,-50.76
4I4E,-50.55
5h8g,-50.52
3b68,-50.5
3b67,-50.49
1k1m,-50.39
2bz6,-50.37
1mq5,-50.35
3u6h,-50.21
2hhn,-50.18
5nyh,-50.17
6d55,-50.02
4xit,-49.99
3v5t,-49.98
6got,-49.96
6d56,-49.93
3nox,-49.92
3t1a,-49.78
TRYB1-a,-49.67
5nxg,-49.64
5j6m,-49.55
5lny,-49.53
1if8,-49.52
1i9n,-49.45
2ayr,-49.29
5eek,-49.28
3kek,-49.23
4q19,-49.19
3i4b,-49.1
3HQ5,-49.06
3hek,-49.04
6COX,-48.91
2y80,-48.85
5n1s,-48.83
2jds,-48.77
5ufp,-48.73
5dfp,-48.68
6i8m,-48.6
5h8e,-48.54
4gu6,-48.5
5ef7,-48.48
1fjs,-48.39
1z95,-48.25
5ime,-48.24
6qav,-48.22
1d3p,-48.15
3r4p,-48.07
2gvj,-48.06
4p5z,-48.05
5l7h,-47.98
6no9,-47.75
5ny3,-47.63
5caq,-47.59
1b8y,-47.54
3rwp,-47.52
4c2v,-47.47
6gxq,-47.46
4j3l,-47.36
3sxf,-47.33
4APU,-47.29
6qas,-47.19
ADRB1-a,-47.15
5l2s,-47.12
5vc4,-47.07
1ZUC,-47.05
6qau,-47.05
4kni,-47.02
5i9x,-47.02
2j34,-46.94
5yjm,-46.91
1CVU,-46.73
4isi,-46.61
1o5r,-46.55
3wha,-46.45
6cjs,-46.41
1qbo,-46.39
6g6t,-46.3
2p16,-46.23
5e2p,-46.23
2uwd,-46.15
5f61,-46.09
6qr7,-46.06
2e9u,-46.05
5cj6,-45.94
2y81,-45.92
1z71,-45.85
2QS2,-45.84
2F35,-45.73
2xjg,-45.69
4efs,-45.61
4h3f,-45.48
3zc5,-45.46
2ihq,-45.44
4crb,-45.41
5f5z,-45.32
1n46,-45.28
1A28,-45.14
4h3g,-45.13
6chp,-45.06
6nfy,-44.85
3NTG,-44.68
6h33,-44.68
1g4o,-44.65
4gg7,-44.64
4o0y,-44.59
2y7x,-44.58
5wqc,-44.55
5my8,-44.55
5cap,-44.51
5zc5,-44.5
3cs7,-44.44
3zcl,-44.42
5xva,-44.42
1mu6,-44.35
3hll,-44.27
3iph,-44.19
2wyj,-44.14
3t3u,-44.13
3qgy,-44
TRYB1-a,-43.94
1i9p,-43.69
4s1g,-43.68
2f1g,-43.55
4ujb,-43.54
4cws,-43.41
4j21,-43.41
5b25,-43.36
ADRB1-a,-43.34
2j4i,-43.33
2F34,-43.26
5ia2,-43.2
4aoi,-43.11
1VSO,-43.03
4y79,-42.89
4yes,-42.86
2qm9,-42.8
5htz,-42.77
2za5,-42.74
5mjn,-42.71
2v59,-42.69
2xab,-42.65
4x5y,-42.65
1nt1,-42.62
2vh6,-42.58
4a6l,-42.58
4crc,-42.51
2vh0,-42.48
3miy,-42.47
5dh5,-42.41
3d7z,-42.29
TRYB1-a,-42.23
1f0r,-42.22
1xws,-42.19
5u6j,-42.07
3zxz,-42.02
1HW8,-42
TRYB1-a,-41.99
2v58,-41.97
2wyg,-41.91
2uwl,-41.88
4i5c,-41.8
4ty6,-41.75
4ytc,-41.72
3hl7,-41.66
3m35,-41.63
5i3w,-41.57
6gzd,-41.51
2y7z,-41.49
