Name,Energy
2XYD,-107.66
4BXK,-96.22
3NXQ,-93.72
3L3N,-78.26
2C6N,-75.11
4E0X,-65.7
ADRB1-active,-64.24
ADRB1-active,-63.27
6got,-60.37
6cn5,-59.08
ADRB1-active,-58.37
ADRB1-active,-57.38
ADRB1-active,-57.33
ADRB1-active,-57.3
1SR7,-56.56
3fql,-56.23
ADRB1-active,-55.6
5tfx,-55.46
4v24,-55.35
TRYB1-active,-55.33
3S2V,-54.93
2XY9,-54.38
5nxg,-54.08
2vnt,-53.92
6pl1,-53.86
ADRB1-active,-53.53
5ljt,-53.43
ADRB1-active,-53.42
4ybk,-52.58
3d83,-52.37
3rlr,-52.06
6maj,-51.52
1if7,-51.43
2xbw,-51.35
ADRB1-active,-51.31
TRYB1-active,-51.14
2A3I,-50.98
5fl5,-50.91
6h2z,-50.65
5mwp,-50.32
4zo5,-50.17
1g48,-50.14
3b65,-50.13
3KBA,-49.49
ADRB1-active,-49.45
2QS4,-49.41
4o0b,-49.35
6h33,-49.28
4j22,-49.24
1CVU,-49.23
5hcv,-49.21
3NTG,-49.12
4FM5,-49
5ia2,-49
3n4b,-48.64
2za5,-48.48
3ryz,-48.4
2bak,-48.36
6s5k,-48.14
ADRB1-active,-48.09
4x6n,-48.07
6no9,-47.81
3b67,-47.76
3m35,-47.41
5j86,-47.4
3le9,-47.32
2ra0,-47.21
3b5r,-46.85
1i9n,-46.67
4b7p,-46.42
4pmm,-46.34
3NTB,-46.21
3kek,-46.18
3npc,-46.17
2qu6,-46.13
2yix,-46.05
4nh8,-45.91
1z6e,-45.76
1YA3,-45.66
3t1a,-45.6
4a6l,-45.41
2AA2,-45.37
2OC2,-45.34
TRYB1-active,-45.28
2f1g,-45.06
1g2l,-44.93
5j6m,-44.84
5yjm,-44.77
5j6l,-44.53
ADRB1-active,-44.49
4xt2,-44.49
5ny3,-44.43
1k1j,-44.35
1VSO,-44.34
4o09,-44.34
3q6w,-44.12
3ZPQ,-43.91
ADRB1-active,-43.82
3b66,-43.74
5dey,-43.68
456c,-43.65
TRYB1-active,-43.61
2hhn,-43.6
TRYB1-active,-43.58
3b68,-43.34
5f61,-43.26
3RR3,-43
3eqr,-42.88
4x5y,-42.82
2y80,-42.78
3VHV,-42.58
3u6h,-42.52
5b25,-42.5
5f5z,-42.39
3m37,-42.27
6cjs,-42.17
4COX,-42.14
5lny,-42.07
1mu6,-41.97
ADRB1-active,-41.92
4kni,-41.85
1A28,-41.69
4o05,-41.53
TRYB1-active,-41.49
6cjr,-41.41
1mu8,-41.28
2p16,-40.99
2y81,-40.98
4gg7,-40.89
1ZUC,-40.8
4y79,-40.76
5h8e,-40.74
4o07,-40.7
TRYB1-active,-40.68
6gxq,-40.68
4DLD,-40.59
1z95,-40.49
TRYB1-active,-40.44
5dfp,-40.4
2jds,-40.28
5v82,-40.22
5nyh,-40.11
3i60,-39.95
1n46,-39.88
3i4b,-39.84
2e9u,-39.84
4j3l,-39.81
3fqe,-39.75
4q19,-39.72
TRYB1-active,-39.62
4xit,-39.6
6COX,-39.59
1yqj,-39.57
TRYB1-active,-39.56
5dh5,-39.51
3Q7D,-39.45
4yes,-39.45
TRYB1-active,-39.4
2qm9,-39.4
3cs7,-39.39
3r4p,-39.35
3m36,-39.15
6i8m,-39.11
6nfy,-39.08
1HW8,-39.06
2ihq,-38.86
2QS3,-38.76
2v59,-38.75
TRYB1-active,-38.74
5cj6,-38.71
5caq,-38.69
3tvc,-38.61
4rj8,-38.6
3i5z,-38.58
4efs,-38.47
3sww,-38.46
3r7o,-38.41
5eek,-38.4
TRYB1-active,-38.32
