Name,Energy
ACE,34.04
ADRB1,17.66
GRIK1,13.99
MCR,12.46
ADRB1,7.69
GRIK1,6.84
MCR,6.05
FAK1,4.73
GRIK1,4.6
FAK1,3.71
ACE,1.85
ACE,1.09
PGH2,1.08
PGH2,0.66
TRYB1,-0.59
PGH2,-1.9
HMDH,-2.07
ACE,-3.1
PGH2,-3.68
PGH2,-4.25
FAK1,-7.29
MCR,-7.82
PGH2,-7.99
GRIK1,-8.22
PGH2,-8.82
PGH2,-9.27
FAK1,-9.39
PRGR,-10.89
GRIK1,-10.98
PRGR,-11.11
PRGR,-11.58
PGH2,-11.65
FAK1,-11.71
MCR,-12.17
PRGR,-12.44
MCR,-12.59
PGH2,-13.49
ADRB1,-13.53
FAK1,-13.63
PRGR,-13.67
PRGR,-14.26
ACE,-14.49
PRGR,-14.58
PRGR,-14.6
MCR,-14.68
FAK1,-14.82
MCR,-15
MCR,-15.19
GRIK1,-15.31
GRIK1,-15.69
ADRB1,-16.1
TRYB1,-16.16
ACE,-16.49
HMDH,-16.54
MCR,-16.81
PRGR,-16.92
PRGR,-17.1
HMDH,-17.12
HMDH,-17.41
FAK1,-17.55
HMDH,-17.82
TRYB1,-18.12
HMDH,-18.73
HMDH,-20.04
GRIK1,-20.8
HMDH,-21.24
ADRB1,-21.26
TRYB1,-22.76
TRYB1,-23
ACE,-23.49
HMDH,-24.55
ADRB1,-24.59
FAK1,-24.65
TRYB1,-24.73
GRIK1,-25.57
HMDH,-25.73
TRYB1,-25.95
TRYB1,-27.09
FAK1,-31.38
TRYB1,-33.38
GRIK1,-34.66
TRYB1,-41.81
ACE,-43.44
ADRB1,-45.81
ADRB1,-49.35
ADRB1,-56.15
ACE,-74.86
