Name,Energy
HMDH,-3.28
HMDH,-12.73
GRIK1,-13.33
TRYB1,-14.72
GRIK1,-15.83
TRYB1,-17.17
HMDH,-19.86
TRYB1,-20.05
ACE,-20.37
FAK1,-20.84
TRYB1,-20.95
HMDH,-21.37
TRYB1,-21.47
HMDH,-21.6
TRYB1,-21.77
TRYB1,-22.02
HMDH,-22.48
TRYB1,-23.31
FAK1,-23.38
GRIK1,-23.55
TRYB1,-24.34
TRYB1,-24.53
FAK1,-24.7
HMDH,-25.02
TRYB1,-25.35
GRIK1,-25.77
HMDH,-26.52
PRGR,-26.58
FAK1,-26.69
HMDH,-26.76
HMDH,-26.79
HMDH,-27.04
FAK1,-27.44
HMDH,-27.44
FAK1,-27.5
GRIK1,-27.68
FAK1,-27.8
FAK1,-27.86
TRYB1,-27.96
TRYB1,-28.33
HMDH,-28.64
ACE,-30.03
TRYB1,-30.38
TRYB1,-30.41
GRIK1,-30.59
FAK1,-30.85
FAK1,-31.26
HMDH,-31.38
HMDH,-31.42
GRIK1,-31.5
TRYB1,-31.53
TRYB1,-31.66
HMDH,-31.68
MCR,-31.9
GRIK1,-32.04
MCR,-32.27
PGH2,-32.31
GRIK1,-32.46
GRIK1,-32.51
TRYB1,-32.68
HMDH,-33.12
FAK1,-33.51
PRGR,-33.56
ADRB1,-33.63
FAK1,-34.06
PGH2,-34.15
ADRB1,-34.2
FAK1,-34.74
PGH2,-34.74
FAK1,-34.76
TRYB1,-34.86
PGH2,-34.96
PRGR,-35.09
HMDH,-35.18
FAK1,-35.64
MCR,-35.81
HMDH,-35.82
PGH2,-36.01
FAK1,-36.14
MCR,-36.16
HMDH,-36.2
PGH2,-36.31
PRGR,-36.39
PGH2,-36.41
PRGR,-36.51
GRIK1,-36.53
GRIK1,-36.86
MCR,-36.87
ADRB1,-37.2
PRGR,-37.47
PRGR,-37.54
PGH2,-37.78
PGH2,-37.79
PRGR,-37.8
FAK1,-37.86
MCR,-37.93
MCR,-38.15
PGH2,-38.27
PRGR,-38.53
PGH2,-38.59
PRGR,-38.72
ADRB1,-38.73
MCR,-38.79
PGH2,-38.92
ADRB1,-39.16
PRGR,-39.32
ACE,-39.34
TRYB1,-39.37
ADRB1,-39.42
PRGR,-39.43
PRGR,-39.8
MCR,-40.26
MCR,-40.36
ADRB1,-40.39
PGH2,-40.64
FAK1,-40.65
PRGR,-41.25
ADRB1,-41.37
MCR,-41.71
PGH2,-41.77
ADRB1,-41.81
MCR,-41.81
PGH2,-41.88
FAK1,-42.08
PRGR,-42.11
MCR,-42.29
ADRB1,-42.41
GRIK1,-42.48
PRGR,-42.56
MCR,-42.92
ADRB1,-43.07
ADRB1,-43.31
ACE,-43.32
PRGR,-43.46
PRGR,-43.6
MCR,-43.84
MCR,-44.09
PGH2,-44.21
PRGR,-44.3
MCR,-44.81
PRGR,-45.29
MCR,-45.3
ACE,-45.45
PGH2,-45.56
FAK1,-45.57
MCR,-45.99
ADRB1,-46.36
ADRB1,-46.68
ADRB1,-46.79
ADRB1,-46.97
ADRB1,-47.37
ACE,-47.54
ACE,-48.51
GRIK1,-48.65
MCR,-50.84
GRIK1,-50.98
GRIK1,-51.02
GRIK1,-51.06
ADRB1,-51.64
GRIK1,-52.27
ACE,-55.12
ACE,-55.72
ADRB1,-56.02
ACE,-56.76
ACE,-57.81
ADRB1,-60.62
ACE,-61.14
GRIK1,-65.61
ACE,-70.99
GRIK1,-72.38
ACE,-75.95
ACE,-80.04
ACE,-88.78
ACE,-95.31
ACE,-128.85
ACE,-218.69
ACE,-224.81
