Name,Energy
ACE,20.5
HMDH,14.88
HMDH,-2.7
GRIK1,-4.15
TRYB1,-7.84
ACE,-9.58
ADRB1,-10.73
FAK1,-11.17
GRIK1,-11.75
ACE,-12.16
ADRB1,-13.35
TRYB1,-13.49
TRYB1,-14.18
MCR,-14.26
PRGR,-14.88
ACE,-16.07
TRYB1,-16.53
GRIK1,-16.63
TRYB1,-16.63
MCR,-16.75
MCR,-17.05
FAK1,-17.09
TRYB1,-17.4
TRYB1,-17.43
HMDH,-18.2
HMDH,-18.41
FAK1,-18.82
TRYB1,-18.84
TRYB1,-19.25
FAK1,-19.3
FAK1,-19.47
PGH2,-19.58
TRYB1,-19.59
FAK1,-19.79
TRYB1,-20.04
TRYB1,-20.29
FAK1,-20.35
TRYB1,-20.45
ADRB1,-20.58
MCR,-20.59
TRYB1,-20.83
PGH2,-20.93
MCR,-21.26
TRYB1,-21.78
PRGR,-22.11
FAK1,-22.2
FAK1,-22.46
HMDH,-22.69
TRYB1,-23.01
PGH2,-23.38
HMDH,-23.49
HMDH,-23.69
FAK1,-23.74
HMDH,-23.74
ACE,-23.75
MCR,-23.86
TRYB1,-23.93
ADRB1,-24.18
HMDH,-24.18
MCR,-24.24
GRIK1,-24.46
GRIK1,-24.49
ADRB1,-25.04
FAK1,-25.08
PRGR,-25.08
PRGR,-25.08
FAK1,-25.19
HMDH,-25.25
ADRB1,-25.31
HMDH,-25.43
FAK1,-25.52
PGH2,-25.85
PRGR,-25.87
ADRB1,-25.93
HMDH,-26.05
PRGR,-26.13
HMDH,-26.14
PRGR,-26.24
FAK1,-26.49
ADRB1,-26.66
PRGR,-26.98
MCR,-27.02
FAK1,-27.16
PGH2,-27.22
TRYB1,-27.44
PRGR,-27.54
GRIK1,-27.56
GRIK1,-27.6
MCR,-27.66
GRIK1,-27.69
PGH2,-27.71
ADRB1,-27.72
FAK1,-27.81
MCR,-27.84
MCR,-27.86
TRYB1,-27.92
HMDH,-27.96
ADRB1,-28.06
MCR,-28.52
PRGR,-28.64
ACE,-28.69
HMDH,-28.8
ADRB1,-28.82
PGH2,-28.97
FAK1,-29.01
ADRB1,-29.09
GRIK1,-29.16
ADRB1,-29.23
PRGR,-29.82
PGH2,-29.85
PGH2,-29.93
FAK1,-30.01
PGH2,-30.55
ADRB1,-30.56
FAK1,-30.9
MCR,-31.25
FAK1,-31.3
PRGR,-31.31
ADRB1,-31.45
GRIK1,-31.6
GRIK1,-31.61
MCR,-31.87
GRIK1,-31.88
PGH2,-31.89
HMDH,-31.97
PRGR,-32.11
PRGR,-32.54
PGH2,-32.59
MCR,-32.64
ACE,-32.67
PRGR,-32.74
HMDH,-32.78
PRGR,-32.83
ADRB1,-32.86
ACE,-33.24
PGH2,-33.26
HMDH,-33.73
MCR,-33.91
ACE,-34
GRIK1,-34
ADRB1,-34.01
TRYB1,-34.03
PRGR,-34.09
HMDH,-34.14
MCR,-34.21
PGH2,-34.26
MCR,-34.41
HMDH,-34.81
GRIK1,-34.9
PRGR,-35.66
GRIK1,-36.34
PGH2,-36.52
PRGR,-36.73
MCR,-36.88
ADRB1,-37.21
PGH2,-37.36
GRIK1,-37.57
GRIK1,-37.67
ADRB1,-37.73
ACE,-38.71
PGH2,-38.83
GRIK1,-39.16
PRGR,-42.41
ACE,-45.38
ADRB1,-46.01
GRIK1,-46.11
MCR,-47.49
ACE,-48.65
ACE,-53.14
GRIK1,-54.04
ACE,-54.24
ACE,-58.72
ACE,-74.07
ACE,-74.46
ACE,-78.35
ACE,-166.99
ACE,-183.74
